recipe_id,title,description,protein_grams,calories,carbs,fat,fiber,sugar,diet_tags,meal_type,site_name,site_domain,prep_time,prep_time_minutes,cook_time_minutes,total_time_minutes,difficulty,servings,canonical_url,image_url,intent_class
proteinbrownies-co-protein-blondies,Protein Blondies,"This chewy and delicious protein blondie recipe packs an impressive 18 grams of muscle-nourishing protein per serving, making it an ideal treat for fitness enthusiasts and anyone looking to boost their daily intake. With a rich, buttery flavor and a satisfyingly dense, chewy texture, these blondi...",18,170,16,7,2,8,blondie;chewy;high-protein;Blondies,desserts,ProteinBrownies,proteinbrownies.co,PT10M,10,25,35,Easy,12 servings,https://proteinbrownies.co/protein-blondies.html,https://proteinbrownies.co/recipe_images/protein-blondies.jpg,quick-snack
proteinbrownies-co-no-bake-protein-brownie-bars,No-Bake Protein Brownie Bars,"These no-bake protein brownie bars are a perfect combination of indulgence and nutrition, offering a satisfying treat with 15 grams of muscle-replenishing protein per serving. Packed with wholesome ingredients, they provide a balanced macro profile—high in protein and healthy fats while keeping c...",15,160,15,8,3,7,no-bake;quick;easy;Bars,desserts,ProteinBrownies,proteinbrownies.co,PT15M,15,0,15,Easy,10 servings,https://proteinbrownies.co/no-bake-protein-brownie-bars.html,https://proteinbrownies.co/recipe_images/no-bake-protein-brownie-bars.jpg,quick-snack
proteinbrownies-co-single-serving-protein-brownie,Single-Serving Protein Brownie,"This quick and easy single-serving protein brownie, packed with 25 grams of muscle-building protein and only 200 calories, is the perfect guilt-free indulgence to satisfy your sweet tooth while supporting your fitness goals. With a rich, fudgy texture and a deep chocolate flavor, this mug-cake de...",25,200,10,9,3,4,single-serving;mug-cake;microwave;Mug Cake,desserts,ProteinBrownies,proteinbrownies.co,PT5M,5,1,6,Easy,1 serving,https://proteinbrownies.co/single-serving-protein-brownie.html,https://proteinbrownies.co/recipe_images/single-serving-protein-brownie.jpg,quick-snack
proteinbrownies-co-keto-protein-brownies,Keto Protein Brownies,"Indulge in these irresistible low-carb, high-fat keto protein brownies, packed with 18 grams of protein and only 4 grams of net carbs per serving, making them a perfect guilt-free treat. Their rich, fudgy texture melts in your mouth, with a decadent chocolate flavor balanced by a subtle nuttiness...",18,190,8,14,4,1,keto;low-carb;high-fat;Brownies,desserts,ProteinBrownies,proteinbrownies.co,PT10M,10,25,35,Easy,12 servings,https://proteinbrownies.co/keto-protein-brownies.html,https://proteinbrownies.co/recipe_images/keto-protein-brownies.jpg,quick-snack
proteinbrownies-co-greek-yogurt-protein-brownies,Greek Yogurt Protein Brownies,"These moist and tangy protein brownies, made with creamy Greek yogurt, deliver an impressive 23 grams of high-quality protein per serving, making them the perfect treat to fuel your active lifestyle. Packed with wholesome ingredients, they offer a balanced macronutrient profile—combining healthy ...",23,180,13,8,3,5,greek-yogurt;moist;tangy;Brownies,desserts,ProteinBrownies,proteinbrownies.co,PT10M,10,28,38,Easy,12 servings,https://proteinbrownies.co/greek-yogurt-protein-brownies.html,https://proteinbrownies.co/recipe_images/greek-yogurt-protein-brownies.jpg,quick-snack
proteinbrownies-co-avocado-protein-brownies,Avocado Protein Brownies,"Incredibly fudgy and healthy protein brownies made with avocado. With 19g of protein per serving, these treats provide a satisfying boost to your daily macros, making them perfect for post-workout recovery or a nourishing snack anytime you need a pick-me-up. The creamy avocado not only adds healt...",19,185,15,10,5,6,avocado;fudgy;healthy;veggie-based;Brownies,desserts,ProteinBrownies,proteinbrownies.co,PT15M,15,25,40,Easy,12 servings,https://proteinbrownies.co/avocado-protein-brownies.html,https://proteinbrownies.co/recipe_images/avocado-protein-brownies.jpg,quick-snack
proteinbrownies-co-zucchini-protein-brownies,Zucchini Protein Brownies,"Shredded zucchini adds moisture and nutrients to these delicious protein brownies, making them a wholesome treat you can feel good about. With 16 grams of protein per serving, they’re perfect for supporting muscle recovery and keeping you energized throughout the day. The tender, fudgy texture co...",16,150,17,6,4,8,zucchini;moist;healthy;veggie-based;Brownies,desserts,ProteinBrownies,proteinbrownies.co,PT20M,20,30,50,Easy,12 servings,https://proteinbrownies.co/zucchini-protein-brownies.html,https://proteinbrownies.co/recipe_images/zucchini-protein-brownies.jpg,post-workout
proteinbrownies-co-peanut-butter-protein-brownies,Peanut Butter Protein Brownies,"This indulgent high-protein brownie combines rich chocolate with creamy peanut butter for a flavor explosion that satisfies your sweet cravings while fueling your body. Packed with 22 grams of protein per serving, it's an ideal choice for post-workout recovery or a nutritious snack to keep you en...",22,195,14,11,4,6,peanut-butter;chocolate;high-protein;Brownies,desserts,ProteinBrownies,proteinbrownies.co,PT10M,10,25,35,Easy,12 servings,https://proteinbrownies.co/peanut-butter-protein-brownies.html,https://proteinbrownies.co/recipe_images/peanut-butter-protein-brownies.jpg,quick-snack
proteinbrownies-co-mint-chocolate-protein-brownies,Mint Chocolate Protein Brownies,"This refreshing and delicious mint chocolate protein brownie packs a satisfying 20g of muscle-nourishing protein per serving, making it the perfect treat to fuel your day. With a rich, fudgy texture complemented by a hint of cool mint, each bite offers a delightful balance of deep chocolate flavo...",20,175,15,8,3,6,mint-chocolate;refreshing;chocolate;Brownies,desserts,ProteinBrownies,proteinbrownies.co,PT10M,10,25,35,Easy,12 servings,https://proteinbrownies.co/mint-chocolate-protein-brownies.html,https://proteinbrownies.co/recipe_images/mint-chocolate-protein-brownies.jpg,quick-snack
proteinbrownies-co-raspberry-swirl-protein-brownies,Raspberry Swirl Protein Brownies,"Indulge in these fudgy chocolate protein brownies with a stunning and flavorful raspberry swirl, offering an irresistible combination of rich cocoa and vibrant fruitiness. Packed with 19 grams of high-quality protein per serving, they’re perfect for satisfying your sweet tooth while supporting mu...",19,170,16,7,4,7,raspberry;fruity;chocolate;Brownies,desserts,ProteinBrownies,proteinbrownies.co,PT15M,15,28,43,Medium,12 servings,https://proteinbrownies.co/raspberry-swirl-protein-brownies.html,https://proteinbrownies.co/recipe_images/raspberry-swirl-protein-brownies.jpg,quick-snack
proteinbrownies-co-espresso-protein-brownies,Espresso Protein Brownies,"These rich and fudgy protein brownies are the perfect indulgence for anyone looking to satisfy their sweet tooth while fueling their body. Packed with 20 grams of high-quality protein per serving, they provide a satisfying boost to support muscle recovery and keep you energized throughout the day...",20,175,14,8,3,6,espresso;coffee;rich;chocolate;Brownies,desserts,ProteinBrownies,proteinbrownies.co,PT10M,10,25,35,Easy,12 servings,https://proteinbrownies.co/espresso-protein-brownies.html,https://proteinbrownies.co/recipe_images/espresso-protein-brownies.jpg,quick-snack
proteinbrownies-co-gluten-free-black-bean-protein-brownies,Gluten-Free Black Bean Protein Brownies,"Fudgy, rich brownies made with black beans for a naturally gluten-free base. You won't believe these decadent treats are packed with protein and fiber! Each serving offers around 12 grams of muscle-repairing protein and a generous dose of dietary fiber, making them an excellent choice for fueling...",12,145,18,6,5,8,gluten-free;black-bean;fudgy;high-fiber;Brownies,desserts,ProteinBrownies,proteinbrownies.co,PT10M,10,25,35,Easy,12 brownies,https://proteinbrownies.co/gluten-free-black-bean-protein-brownies.html,https://proteinbrownies.co/recipe_images/gluten-free-black-bean-protein-brownies.jpg,gluten-free
proteinbrownies-co-dairy-free-avocado-protein-brownies,Dairy-Free Avocado Protein Brownies,"These ultra-fudgy dairy-free brownies are a guilt-free indulgence packed with nutritious goodness, delivering approximately 10 grams of protein per serving to fuel your body and satisfy your sweet cravings. Made with creamy avocado, they boast healthy fats that contribute to sustained energy and ...",10,155,16,8,4,9,dairy-free;avocado;fudgy;healthy-fats;Brownies,desserts,ProteinBrownies,proteinbrownies.co,PT10M,10,25,35,Easy,12 brownies,https://proteinbrownies.co/dairy-free-avocado-protein-brownies.html,https://proteinbrownies.co/recipe_images/dairy-free-avocado-protein-brownies.jpg,quick-snack
protein-bread-com-protein-banana-bread,Classic Protein Banana Bread,"This delicious and moist banana bread is packed with 25 grams of protein per slice, making it the perfect treat to fuel your day or support your post-workout recovery. Its tender crumb and subtly sweet banana flavor are complemented by a hearty, satisfying texture that melts in your mouth with ev...",25,220,20,8,3,9,banana bread;protein;healthy;Banana Bread,savory,ProteinBread,protein-bread.com,PT15M,15,30,45,Easy,10 slices,https://protein-bread.com/protein-banana-bread.html,https://protein-bread.com/recipe_images/protein-banana-bread.jpg,quick-snack
protein-bread-com-high-protein-banana-bread,High Protein Banana Bread Recipe,"Boost your protein intake with this delicious banana bread, boasting 28g of protein per serving. Packed with wholesome ingredients, this bread provides a satisfying balance of macronutrients—perfect for fueling your day or supporting your post-workout recovery. The moist, tender crumb is compleme...",28,240,22,9,4,8,high protein;banana bread;recipe;Banana Bread,savory,ProteinBread,protein-bread.com,PT15M,15,35,50,Easy,10 slices,https://protein-bread.com/high-protein-banana-bread.html,https://protein-bread.com/recipe_images/high-protein-banana-bread.jpg,quick-snack
protein-bread-com-protein-banana-bread-recipe,Simple Protein Banana Bread Recipe,"This straightforward and delicious protein banana bread recipe delivers a satisfying slice with 22 grams of muscle-loving protein per serving, making it an ideal choice for fueling your day. Packed with wholesome ingredients, it's not only rich in protein but also offers a balanced mix of healthy...",22,200,18,7,3,10,protein;banana bread;recipe;simple;Banana Bread,savory,ProteinBread,protein-bread.com,PT10M,10,25,35,Easy,12 slices,https://protein-bread.com/protein-banana-bread-recipe.html,https://protein-bread.com/recipe_images/protein-banana-bread-recipe.jpg,quick-snack
protein-bread-com-protein-powder-banana-bread,Banana Bread with Protein Powder,"Enhance your banana bread with a scoop of protein powder for a 26g protein boost, making it the perfect guilt-free treat to fuel your day. Rich in satisfying texture, this bread boasts a moist, tender crumb with just the right balance of sweetness and banana flavor, complemented by a subtle prote...",26,230,21,8,3,11,protein powder;banana bread;Banana Bread,savory,ProteinBread,protein-bread.com,PT15M,15,30,45,Easy,10 slices,https://protein-bread.com/protein-powder-banana-bread.html,https://protein-bread.com/recipe_images/protein-powder-banana-bread.jpg,quick-snack
protein-bread-com-high-protein-banana-bread-recipe,Ultimate High-Protein Banana Bread,"This ultimate high-protein banana bread is a deliciously nutritious treat, offering an impressive 30 grams of protein per serving to fuel your day and support muscle recovery. Rich in wholesome ingredients like ripe bananas and protein-packed additions, it provides a satisfying balance of moist, ...",30,250,24,9,5,7,high protein;banana bread;recipe;ultimate;Banana Bread,savory,ProteinBread,protein-bread.com,PT15M,15,35,50,Medium,10 slices,https://protein-bread.com/high-protein-banana-bread-recipe.html,https://protein-bread.com/recipe_images/high-protein-banana-bread-recipe.jpg,high-protein-30g
protein-bread-com-protein-pumpkin-bread,Healthy Protein Pumpkin Bread,"This moist and delicious pumpkin bread delivers a satisfying protein punch of 24g per slice, making it an ideal choice for fueling your busy day or post-workout recovery. Packed with wholesome ingredients, it offers a balanced macro profile with healthy carbs and fiber to keep you energized, alon...",24,210,19,7,4,8,protein;pumpkin bread;healthy;Quick Bread,savory,ProteinBread,protein-bread.com,PT15M,15,30,45,Easy,12 slices,https://protein-bread.com/protein-pumpkin-bread.html,https://protein-bread.com/recipe_images/protein-pumpkin-bread.jpg,quick-snack
protein-bread-com-protein-zucchini-bread,Delicious Protein Zucchini Bread,"This healthy and flavorful zucchini bread packs an impressive 20g of protein per serving, making it an ideal choice for fueling your active lifestyle. Rich in fiber and low in refined sugars, it offers a balanced macro profile that supports muscle recovery and sustained energy. The moist, tender ...",20,190,16,8,3,7,protein;zucchini bread;healthy;Quick Bread,savory,ProteinBread,protein-bread.com,PT20M,20,35,55,Easy,12 slices,https://protein-bread.com/protein-zucchini-bread.html,https://protein-bread.com/recipe_images/protein-zucchini-bread.jpg,post-workout
protein-bread-com-protein-cloud-bread,Fluffy Protein Cloud Bread,"This light and airy cloud bread is a perfect high-protein, low-carb snack that delivers approximately 15 grams of protein per serving, making it an excellent choice for muscle recovery and sustained energy. Its delicate, melt-in-your-mouth texture offers a satisfying combination of fluffiness and...",15,100,2,4,0,1,protein;cloud bread;low-carb;Quick Bread,savory,ProteinBread,protein-bread.com,PT10M,10,20,30,Medium,10 pieces,https://protein-bread.com/protein-cloud-bread.html,https://protein-bread.com/recipe_images/protein-cloud-bread.jpg,quick-snack
protein-bread-com-protein-bread-recipe,Simple Protein Bread Recipe,"This simple protein bread recipe offers a satisfying, hearty slice packed with 20 grams of muscle-nourishing protein per serving, making it an ideal choice for fueling your active lifestyle. With its soft, slightly chewy texture and a subtly nutty flavor, each bite delivers a comforting yet nutri...",20,180,15,6,3,4,protein bread;recipe;simple;Quick Bread,savory,ProteinBread,protein-bread.com,PT10M,10,30,40,Easy,12 slices,https://protein-bread.com/protein-bread-recipe.html,https://protein-bread.com/recipe_images/protein-bread-recipe.jpg,quick-snack
protein-bread-com-high-protein-bread,Everyday High Protein Bread,"This versatile high-protein bread is perfect for fueling your day, offering an impressive 25 grams of protein per slice to support muscle recovery and keep you energized. With its hearty texture and subtly nutty flavor, it makes for a satisfying base for sandwiches or a deliciously crispy toast—i...",25,200,12,7,5,2,high protein;bread;sandwich;Sandwich Bread,savory,ProteinBread,protein-bread.com,PT15M,15,35,50,Easy,10 slices,https://protein-bread.com/high-protein-bread.html,https://protein-bread.com/recipe_images/high-protein-bread.jpg,quick-snack
protein-bread-com-high-protein-pumpkin-bread,High Protein Pumpkin Bread,"This delicious and moist pumpkin bread is a perfect guilt-free indulgence, delivering an impressive 26g of protein per slice to fuel your day. Rich in high-quality protein and wholesome ingredients, it offers a satisfying balance of macros that can support muscle recovery and keep you energized. ...",26,230,20,9,5,8,high protein;pumpkin bread;Quick Bread,savory,ProteinBread,protein-bread.com,PT15M,15,35,50,Easy,12 slices,https://protein-bread.com/high-protein-pumpkin-bread.html,https://protein-bread.com/recipe_images/high-protein-pumpkin-bread.jpg,quick-snack
protein-bread-com-protein-bagels,Simple Protein Bagels,"These easy-to-make protein bagels pack an impressive 18 grams of muscle-supporting protein per serving, making them an ideal choice for a satisfying breakfast or post-workout fuel. Their dense, chewy texture offers a delightful contrast to the crispy crust, while a subtle hint of salt and a touch...",18,160,15,3,2,2,protein;bagels;simple;Bagel,savory,ProteinBread,protein-bread.com,PT15M,15,20,35,Medium,8 bagels,https://protein-bread.com/protein-bagels.html,https://protein-bread.com/recipe_images/protein-bagels.jpg,quick-snack
protein-bread-com-savory-herb-protein-bread,Savory Herb Protein Bread,"This savory herb protein bread offers a satisfying combination of flavor and nutrition, delivering an impressive 22g of protein per slice to fuel your day. Packed with wholesome ingredients, it’s an excellent choice for supporting muscle recovery post-workout or as a hearty addition to any meal. ...",22,190,14,7,4,3,savory;herb;protein bread;Savory Bread,savory,ProteinBread,protein-bread.com,PT15M,15,30,45,Easy,12 slices,https://protein-bread.com/savory-herb-protein-bread.html,https://protein-bread.com/recipe_images/savory-herb-protein-bread.jpg,quick-snack
protein-bread-com-cinnamon-swirl-protein-bread,Cinnamon Swirl Protein Bread,"This sweet and delicious cinnamon swirl bread packs a satisfying 20 grams of protein per serving, making it a perfect choice for fueling your day or recovering after a workout. Its soft, tender crumb is infused with warm cinnamon and a sweet swirl that creates a delightful contrast in both textur...",20,200,18,8,3,9,cinnamon swirl;protein bread;sweet;Sweet Bread,savory,ProteinBread,protein-bread.com,PT20M,20,30,50,Medium,12 slices,https://protein-bread.com/cinnamon-swirl-protein-bread.html,https://protein-bread.com/recipe_images/cinnamon-swirl-protein-bread.jpg,post-workout
protein-bread-com-whole-wheat-protein-sandwich-bread,Whole Wheat Protein Sandwich Bread,"This hearty and healthy whole wheat sandwich bread delivers an impressive 18 grams of protein per slice, making it an ideal choice for fueling your active lifestyle and supporting muscle recovery. Rich in fiber and complex carbs, it provides sustained energy and promotes digestive health, while i...",18,170,16,5,4,3,whole wheat;protein;sandwich bread;Sandwich Bread,savory,ProteinBread,protein-bread.com,PT20M,20,35,55,Easy,14 slices,https://protein-bread.com/whole-wheat-protein-sandwich-bread.html,https://protein-bread.com/recipe_images/whole-wheat-protein-sandwich-bread.jpg,post-workout
protein-bread-com-healthy-protein-banana-bread,Healthy Protein Banana Bread,"This guilt-free and delicious banana bread packs an impressive 22g of protein per slice, making it an ideal choice for fueling your day or recovering after a tough workout. Rich in wholesome ingredients, it offers a moist, tender crumb with a subtly sweet banana flavor complemented by hints of va...",22,200,20,7,4,9,healthy;protein;banana bread;Banana Bread,savory,ProteinBread,protein-bread.com,PT15M,15,30,45,Easy,12 slices,https://protein-bread.com/healthy-protein-banana-bread.html,https://protein-bread.com/recipe_images/healthy-protein-banana-bread.jpg,quick-snack
protein-bread-com-banana-bread-with-protein-powder-recipe,Easy Banana Bread with Protein Powder,"This simple banana bread recipe is not only delicious but also packed with a substantial 24 grams of protein per serving, making it an ideal choice for fueling your day or supporting muscle recovery. The moist, tender crumb is infused with the rich sweetness of ripe bananas, balanced by a subtle ...",24,220,22,8,3,10,banana bread;protein powder;easy;Banana Bread,savory,ProteinBread,protein-bread.com,PT10M,10,30,40,Easy,10 slices,https://protein-bread.com/banana-bread-with-protein-powder-recipe.html,https://protein-bread.com/recipe_images/banana-bread-with-protein-powder-recipe.jpg,quick-snack
protein-bread-com-chocolate-chip-protein-zucchini-bread,Chocolate Chip Protein Zucchini Bread,"This delicious zucchini bread is packed with 22 grams of high-quality protein per serving, making it an ideal choice for fueling your active lifestyle and supporting muscle recovery. Its moist, tender crumb is perfectly complemented by pockets of rich chocolate chips, offering a harmonious balanc...",22,210,18,9,4,9,chocolate chip;protein;zucchini bread;Quick Bread,savory,ProteinBread,protein-bread.com,PT20M,20,35,55,Easy,12 slices,https://protein-bread.com/chocolate-chip-protein-zucchini-bread.html,https://protein-bread.com/recipe_images/chocolate-chip-protein-zucchini-bread.jpg,post-workout
protein-bread-com-cinnamon-raisin-protein-bagels,Cinnamon Raisin Protein Bagels,"Indulge in these sweet and chewy cinnamon raisin bagels, each boasting a hearty 20 grams of protein to fuel your day. Packed with wholesome ingredients, they offer a balanced macro profile—perfect for supporting muscle recovery, sustained energy, and overall wellness. The tender, dense texture co...",20,180,20,3,3,6,cinnamon raisin;protein;bagels;Bagel,savory,ProteinBread,protein-bread.com,PT15M,15,20,35,Medium,8 bagels,https://protein-bread.com/cinnamon-raisin-protein-bagels.html,https://protein-bread.com/recipe_images/cinnamon-raisin-protein-bagels.jpg,quick-snack
protein-bread-com-cheese-and-chive-protein-bread,Cheese and Chive Protein Bread,"This savory and cheesy bread with fresh chives offers a satisfying combination of flavors and textures that will elevate any meal. Packed with 24 grams of protein per serving, it's an excellent choice for supporting muscle recovery and keeping you energized throughout the day. The bread boasts a ...",24,220,12,11,4,2,cheese;chive;protein bread;savory;Savory Bread,savory,ProteinBread,protein-bread.com,PT15M,15,30,45,Easy,12 slices,https://protein-bread.com/cheese-and-chive-protein-bread.html,https://protein-bread.com/recipe_images/cheese-and-chive-protein-bread.jpg,quick-snack
protein-bread-com-lemon-blueberry-protein-bread,Lemon Blueberry Protein Bread,"This refreshing and sweet lemon blueberry bread packs a satisfying 20g of protein per serving, making it an ideal choice for fueling your day or post-workout recovery. With its tender, moist crumb infused with zesty lemon and bursting blueberries, each bite offers a delightful balance of tartness...",20,190,18,7,3,9,lemon;blueberry;protein bread;sweet;Sweet Bread,savory,ProteinBread,protein-bread.com,PT15M,15,30,45,Easy,12 slices,https://protein-bread.com/lemon-blueberry-protein-bread.html,https://protein-bread.com/recipe_images/lemon-blueberry-protein-bread.jpg,quick-snack
protein-bread-com-multigrain-protein-sandwich-bread,Multigrain Protein Sandwich Bread,"This healthy and hearty multigrain sandwich bread offers an impressive 20g of protein per slice, making it an excellent choice for fueling your active lifestyle and supporting muscle recovery. Packed with a blend of wholesome grains and seeds, its dense yet tender crumb delivers a satisfying bite...",20,180,18,6,5,3,multigrain;protein;sandwich bread;Sandwich Bread,savory,ProteinBread,protein-bread.com,PT20M,20,35,55,Easy,14 slices,https://protein-bread.com/multigrain-protein-sandwich-bread.html,https://protein-bread.com/recipe_images/multigrain-protein-sandwich-bread.jpg,post-workout
protein-bread-com-chocolate-chip-protein-banana-bread,Chocolate Chip Protein Banana Bread,"This decadent chocolate chip banana bread packs an impressive 23 grams of protein per serving, making it an ideal choice for fueling your day or recovering after a tough workout. The moist, tender crumb is enriched with ripe bananas, delivering natural sweetness and a subtle fruity flavor that pa...",23,240,25,9,4,12,chocolate chip;protein;banana bread;Banana Bread,savory,ProteinBread,protein-bread.com,PT15M,15,30,45,Easy,12 slices,https://protein-bread.com/chocolate-chip-protein-banana-bread.html,https://protein-bread.com/recipe_images/chocolate-chip-protein-banana-bread.jpg,quick-snack
protein-bread-com-apple-cinnamon-protein-bread,Apple Cinnamon Protein Bread,"This warm and comforting apple cinnamon bread delivers a satisfying combination of soft, moist texture with hints of sweet, fragrant cinnamon and tender apple chunks in every bite. Packed with 21g of high-quality protein per serving, it makes for a nourishing choice to fuel your day or recover af...",21,200,20,7,4,10,apple;cinnamon;protein bread;Quick Bread,savory,ProteinBread,protein-bread.com,PT20M,20,35,55,Easy,12 slices,https://protein-bread.com/apple-cinnamon-protein-bread.html,https://protein-bread.com/recipe_images/apple-cinnamon-protein-bread.jpg,post-workout
protein-bread-com-everything-protein-bagels,Everything Protein Bagels,"Savory everything bagels packed with 22g of protein offer a delicious way to fuel your day with wholesome goodness. These bagels boast a satisfying chewy texture with a crispy, flavorful crust topped generously with the classic everything bagel seasoning—think crunchy sesame seeds, poppy seeds, g...",22,190,16,5,3,2,everything bagel;protein;savory;Bagel,savory,ProteinBread,protein-bread.com,PT15M,15,20,35,Medium,8 bagels,https://protein-bread.com/everything-protein-bagels.html,https://protein-bread.com/recipe_images/everything-protein-bagels.jpg,quick-snack
protein-bread-com-gluten-free-almond-flour-protein-bread,Gluten-Free Almond Flour Protein Bread,"This soft, fluffy gluten-free bread made with almond flour and protein powder is a nutritious and satisfying addition to any meal. Packed with approximately 18 grams of protein per serving, it provides a perfect balance of macros to fuel your day and support muscle recovery. The delicate crumb of...",18,165,8,11,3,2,gluten-free;almond-flour;high-protein;low-carb;Loaves,savory,ProteinBread,protein-bread.com,PT10M,10,45,55,Easy,12 slices,https://protein-bread.com/gluten-free-almond-flour-protein-bread.html,https://protein-bread.com/recipe_images/gluten-free-almond-flour-protein-bread.jpg,gluten-free
protein-bread-com-dairy-free-oat-protein-sandwich-loaf,Dairy-Free Oat Protein Sandwich Loaf,"This hearty, dairy-free sandwich bread made with wholesome oat flour and plant-based protein is not only delicious but also a nutritious powerhouse, offering approximately 15 grams of protein per slice to fuel your day. Its soft, tender crumb and slightly nutty flavor create the perfect canvas fo...",15,145,18,5,3,3,dairy-free;vegan-option;oat-flour;sandwich-bread;Loaves,savory,ProteinBread,protein-bread.com,PT15M,15,50,65,Medium,14 slices,https://protein-bread.com/dairy-free-oat-protein-sandwich-loaf.html,https://protein-bread.com/recipe_images/dairy-free-oat-protein-sandwich-loaf.jpg,vegan
proteinbars-co-no-bake-chocolate-peanut-butter-bars,No-Bake Chocolate Peanut Butter Bars,"This no-bake chocolate peanut butter bar is a deliciously satisfying treat that delivers a powerful punch of nutrition, with 22 grams of high-quality protein per serving to support muscle recovery and keep you energized throughout the day. The rich chocolate and creamy peanut butter combination o...",22,250,20,15,5,8,no-bake;peanut butter;chocolate;No-Bake,snacks,ProteinBars,proteinbars.co,PT15M,15,0,15,Easy,12 bars,https://proteinbars.co/no-bake-chocolate-peanut-butter-bars.html,https://proteinbars.co/recipe_images/no-bake-chocolate-peanut-butter-bars.jpg,quick-snack
proteinbars-co-candy-bar-copycat-snickers,Candy Bar Copycat: Protein Snickers,"Indulge in a healthier, high-protein version of the classic Snickers bar with 18g of muscle-boosting protein per serving, making it the perfect guilt-free treat for any time of day. Packed with wholesome ingredients, this bar offers a satisfying combination of creamy caramel, crunchy nuts, and ri...",18,280,25,18,4,15,snickers;candy bar;caramel;Candy Bar Copycat,snacks,ProteinBars,proteinbars.co,PT20M,20,5,25,Medium,10 bars,https://proteinbars.co/candy-bar-copycat-snickers.html,https://proteinbars.co/recipe_images/candy-bar-copycat-snickers.jpg,post-workout
proteinbars-co-vegan-almond-joy-bars,Vegan Almond Joy Protein Bars,"These vegan almond joy protein bars are a perfect combination of indulgence and nutrition, offering a satisfying treat with a robust 15 grams of plant-based protein per serving. Packed with wholesome ingredients like shredded coconut, almonds, and natural sweeteners, they deliver a delightful cru...",15,220,18,14,6,7,vegan;almond joy;coconut;Vegan,snacks,ProteinBars,proteinbars.co,PT15M,15,0,15,Easy,12 bars,https://proteinbars.co/vegan-almond-joy-bars.html,https://proteinbars.co/recipe_images/vegan-almond-joy-bars.jpg,vegan
proteinbars-co-nut-free-sunbutter-bars,Nut-Free Sunbutter Protein Bars,"These nut-free sunflower seed butter protein bars are a safe and delicious choice for those with nut allergies, delivering a satisfying 16 grams of high-quality protein per serving to support muscle recovery and keep you fueled throughout the day. Packed with wholesome ingredients, they offer a p...",16,230,22,13,5,9,nut-free;sunflower seed butter;no-bake;Nut-Free,snacks,ProteinBars,proteinbars.co,PT10M,10,0,10,Easy,12 bars,https://proteinbars.co/nut-free-sunbutter-bars.html,https://proteinbars.co/recipe_images/nut-free-sunbutter-bars.jpg,quick-snack
proteinbars-co-high-protein-chocolate-brownie-bars,High-Protein Chocolate Brownie Bars,"Fudgy, chocolatey, and packed with 25g of protein, these brownie bars are the ultimate healthy indulgence. With their rich, melt-in-your-mouth texture and deep cocoa flavor, they satisfy your sweet tooth while fueling your body with essential nutrients. Each bar delivers a balanced macro profile—...",25,200,15,8,7,2,high-protein;brownie;chocolate;High-Protein,snacks,ProteinBars,proteinbars.co,PT10M,10,20,30,Easy,12 bars,https://proteinbars.co/high-protein-chocolate-brownie-bars.html,https://proteinbars.co/recipe_images/high-protein-chocolate-brownie-bars.jpg,quick-snack
proteinbars-co-meal-prep-oat-and-honey-bars,Meal Prep Oat and Honey Protein Bars,"These delicious oat and honey bars are not only easy to make but also packed with 20 grams of high-quality protein per serving, making them an ideal choice for fueling your busy day or post-workout recovery. With wholesome oats and natural honey, they deliver a satisfying chewiness and a subtly s...",20,240,28,10,4,12,meal prep;oats;honey;Meal Prep,snacks,ProteinBars,proteinbars.co,PT10M,10,15,25,Easy,12 bars,https://proteinbars.co/meal-prep-oat-and-honey-bars.html,https://proteinbars.co/recipe_images/meal-prep-oat-and-honey-bars.jpg,meal-prep
proteinbars-co-no-bake-cashew-coconut-bars,No-Bake Cashew Coconut Protein Bars,"Creamy cashew butter and fragrant coconut come together in these simple no-bake bars with 18g of protein, making them an ideal choice for a nutritious snack or post-workout boost. Rich in plant-based protein, healthy fats, and fiber, these bars help fuel your day and support muscle recovery while...",18,260,20,16,5,9,no-bake;cashew;coconut;No-Bake,snacks,ProteinBars,proteinbars.co,PT15M,15,0,15,Easy,12 bars,https://proteinbars.co/no-bake-cashew-coconut-bars.html,https://proteinbars.co/recipe_images/no-bake-cashew-coconut-bars.jpg,quick-snack
proteinbars-co-candy-bar-copycat-twix,Candy Bar Copycat: Protein Twix,"This indulgent three-layered protein bar offers the irresistible taste of a classic Twix, but with a wholesome twist—packing an impressive 17 grams of protein per serving to fuel your day. Crafted to deliver a perfect balance of crunch, smooth caramel, and rich chocolate, each bite offers a satis...",17,270,22,17,3,14,twix;candy bar;caramel;Candy Bar Copycat,snacks,ProteinBars,proteinbars.co,PT25M,25,10,35,Medium,12 bars,https://proteinbars.co/candy-bar-copycat-twix.html,https://proteinbars.co/recipe_images/candy-bar-copycat-twix.jpg,post-workout
